state,year,quarter,transaction_type,transaction_count,transaction_amount
jammu-&-kashmir,2022,2,Merchant payments,9917899,8541811640.294408
jammu-&-kashmir,2022,2,Peer-to-peer payments,8948548,35973490940.6326
jammu-&-kashmir,2022,2,Recharge & bill payments,4759941,1631580783.9159238
jammu-&-kashmir,2022,2,Financial Services,17495,23857762.100494668
jammu-&-kashmir,2022,2,Others,169864,83549709.69216739
jammu-&-kashmir,2022,3,Merchant payments,9594459,8056512904.560925
jammu-&-kashmir,2022,3,Peer-to-peer payments,8391981,31280124357.943665
jammu-&-kashmir,2022,3,Recharge & bill payments,4397779,1538833023.8071973
jammu-&-kashmir,2022,3,Financial Services,16502,21281997.61037215
jammu-&-kashmir,2022,3,Others,133673,66802218.32606816
jammu-&-kashmir,2022,1,Peer-to-peer payments,6263588,25881919928.642838
jammu-&-kashmir,2022,1,Merchant payments,5769426,5903944370.148529
jammu-&-kashmir,2022,1,Recharge & bill payments,4046350,1253753685.6124904
jammu-&-kashmir,2022,1,Financial Services,20506,28915576.119299565
jammu-&-kashmir,2022,1,Others,145441,79330065.6359112
jammu-&-kashmir,2022,4,Merchant payments,13060020,9463119176.828749
jammu-&-kashmir,2022,4,Peer-to-peer payments,9209773,33017162449.59025
jammu-&-kashmir,2022,4,Recharge & bill payments,4885856,1738113554.2451303
jammu-&-kashmir,2022,4,Financial Services,17803,26804683.92881795
jammu-&-kashmir,2022,4,Others,142706,70096050.90090424
jammu-&-kashmir,2020,2,Peer-to-peer payments,1238380,7426818530.258213
jammu-&-kashmir,2020,2,Recharge & bill payments,1028741,413037418.32063264
jammu-&-kashmir,2020,2,Merchant payments,341375,403026357.7674071
jammu-&-kashmir,2020,2,Financial Services,9130,10415041.341445928
jammu-&-kashmir,2020,2,Others,17380,12351591.57084975
jammu-&-kashmir,2020,3,Peer-to-peer payments,1787154,10837119046.792652
jammu-&-kashmir,2020,3,Recharge & bill payments,1005745,443743222.500647
jammu-&-kashmir,2020,3,Merchant payments,642688,667957476.4350253
jammu-&-kashmir,2020,3,Financial Services,10111,13281733.802213533
jammu-&-kashmir,2020,3,Others,20200,15128281.341935568
jammu-&-kashmir,2020,1,Peer-to-peer payments,435154,2654638582.0865793
jammu-&-kashmir,2020,1,Recharge & bill payments,341357,144213068.71202034
jammu-&-kashmir,2020,1,Merchant payments,135241,131144418.96503358
jammu-&-kashmir,2020,1,Financial Services,2350,2116665.1182805505
jammu-&-kashmir,2020,1,Others,7528,5530441.652102945
jammu-&-kashmir,2020,4,Peer-to-peer payments,2378539,13736841259.979288
jammu-&-kashmir,2020,4,Recharge & bill payments,1900075,536741118.30199385
jammu-&-kashmir,2020,4,Merchant payments,1377786,1045006123.4596367
jammu-&-kashmir,2020,4,Financial Services,13578,17966592.697469097
jammu-&-kashmir,2020,4,Others,84466,44350708.939814664
jammu-&-kashmir,2021,2,Peer-to-peer payments,3955437,19502438177.8094
jammu-&-kashmir,2021,2,Recharge & bill payments,3568970,892467613.5545956
jammu-&-kashmir,2021,2,Merchant payments,2378307,2343370985.5822287
jammu-&-kashmir,2021,2,Financial Services,19432,21897796.187056318
jammu-&-kashmir,2021,2,Others,105673,53580855.45836207
jammu-&-kashmir,2021,3,Peer-to-peer payments,5621108,26562997915.198593
jammu-&-kashmir,2021,3,Recharge & bill payments,4192099,1126801385.0108979
jammu-&-kashmir,2021,3,Merchant payments,3197489,3818849262.990345
jammu-&-kashmir,2021,3,Financial Services,16071,27585395.493344467
jammu-&-kashmir,2021,3,Others,124274,62209689.3389434
jammu-&-kashmir,2021,1,Peer-to-peer payments,2800201,14801220301.14875
jammu-&-kashmir,2021,1,Recharge & bill payments,2554798,663747765.6760966
jammu-&-kashmir,2021,1,Merchant payments,1527253,1605408313.4781337
jammu-&-kashmir,2021,1,Financial Services,17276,20848657.8594191
